name,description,processed_tokens,tags,views,comments
Mikko Hypponen: How the NSA betrayed the world's trust -- time to act,"Recent events have highlighted, underlined and bolded the fact that the United States is performing blanket surveillance on any foreigner whose data passes through an American entity -- whether they are suspected of wrongdoing or not. This means that, essentially, every international user of the internet is being watched, says Mikko Hypponen. An important rant, wrapped with a plea: to find alternative solutions to using American companies for the world's information needs.","['recent', 'event', 'highlight', 'underline', 'bolde', 'fact', 'united', 'states', 'perform', 'blanket', 'surveillance', 'foreigner', 'datum', 'pass', 'american', 'entity', 'suspect', 'wrongdoing', 'mean', 'essentially', 'international', 'user', 'internet', 'watch', 'say', 'mikko', 'hypponen', 'important', 'rant', 'wrap', 'plea', 'find', 'alternative', 'solution', 'american', 'company', 'world', 'information', 'need']","['Internet', 'Surveillance', 'computers', 'global issues', 'security', 'technology', 'terrorism']",1535238,515
Fawn Qiu: Easy DIY projects for kid engineers,"TED Resident Fawn Qiu designs fun, low-cost projects that use familiar materials like paper and fabric to introduce engineering to kids. In this quick, clever talk, she shares how nontraditional workshops like hers can change the perception of technology and inspire students to participate in creating it.","['ted', 'resident', 'fawn', 'qiu', 'design', 'fun', 'low', 'cost', 'project', 'use', 'familiar', 'material', 'like', 'paper', 'fabric', 'introduce', 'engineering', 'kid', 'quick', 'clever', 'talk', 'share', 'nontraditional', 'workshop', 'like', 'change', 'perception', 'technology', 'inspire', 'student', 'participate', 'create']","['TED Residency', 'children', 'computers', 'creativity', 'design', 'education', 'engineering', 'innovation', 'invention', 'personal growth', 'programming', 'teaching', 'technology']",1047389,18
Raghava KK: What's your 200-year plan?,"You might have a 5-year plan, but what about a 200-year plan? Artist Raghava KK has set his eyes on an ultra-long-term horizon; at TEDxSummit, he shows how it helps guide today's choices and tomorrow's goals -- and encourages you to make your own 200-year plan too.","['5', 'year', 'plan', '200', 'year', 'plan', 'artist', 'raghava', 'kk', 'set', 'eye', 'ultra', 'long', 'term', 'horizon', 'tedxsummit', 'show', 'help', 'guide', 'today', 'choice', 'tomorrow', 'goal', 'encourage', '200', 'year', 'plan']","['TEDx', 'art', 'entertainment', 'goal-setting', 'life', 'social media', 'storytelling', 'technology']",811778,56
Jessa Gamble: Our natural sleep cycle is nothing like what we do now,"In today's world, balancing school, work, kids and more, most of us can only hope for the recommended eight hours of sleep. Examining the science behind our body's internal clock, Jessa Gamble reveals the surprising and substantial program of rest we should be observing.","['today', 'world', 'balance', 'school', 'work', 'kid', 'hope', 'recommend', 'hour', 'sleep', 'examine', 'science', 'body', 'internal', 'clock', 'jessa', 'gamble', 'reveal', 'surprising', 'substantial', 'program', 'rest', 'observe']","['evolution', 'humanity', 'personal growth', 'science', 'self']",2244295,241
Robyn Stein DeLuca: The good news about PMS,"Everybody knows that most women go a little crazy right before they get their period, that their reproductive hormones cause their emotions to fluctuate wildly. Except: There's very little scientific consensus about premenstrual syndrome. Says psychologist Robyn Stein DeLuca, science doesn't agree on the definition, cause, treatment or even existence of PMS. She explores what we know and don't know about it -- and why the popular myth has persisted.","['everybody', 'know', 'woman', 'little', 'crazy', 'right', 'period', 'reproductive', 'hormone', 'cause', 'emotion', 'fluctuate', 'wildly', 'little', 'scientific', 'consensus', 'premenstrual', 'syndrome', 'say', 'psychologist', 'robyn', 'stein', 'deluca', 'science', 'agree', 'definition', 'cause', 'treatment', 'existence', 'pms', 'explore', 'know', 'know', 'popular', 'myth', 'persist']","['TEDx', 'depression', 'psychology', 'women']",1290746,156
Ray Kurzweil: A university for the coming singularity,"Ray Kurzweil's latest graphs show that technology's breakneck advances will only accelerate -- recession or not. He unveils his new project, Singularity University, to study oncoming tech and guide it to benefit humanity.","['ray', 'kurzweil', 'late', 'graph', 'technology', 'breakneck', 'advance', 'accelerate', 'recession', 'unveil', 'new', 'project', 'singularity', 'university', 'study', 'oncoming', 'tech', 'guide', 'benefit', 'humanity']","['TED Brain Trust', 'computers', 'education', 'future', 'nanoscale', 'prediction', 'science', 'technology']",908923,145
Mitchell Besser: Mothers helping mothers fight HIV,"In sub-Saharan Africa, HIV infections are more prevalent and doctors scarcer than anywhere else in the world. With a lack of medical professionals, Mitchell Besser enlisted the help of his patients to create mothers2mothers -- an extraordinary network of HIV-positive women whose support for each other is changing and saving lives.","['sub', 'saharan', 'africa', 'hiv', 'infection', 'prevalent', 'doctor', 'scarcer', 'world', 'lack', 'medical', 'professional', 'mitchell', 'besser', 'enlist', 'help', 'patient', 'create', 'mothers2mother', 'extraordinary', 'network', 'hiv', 'positive', 'woman', 'support', 'change', 'save', 'life']","['AIDS', 'Africa', 'community', 'health', 'health care', 'women']",235221,40
Brené Brown: Listening to shame,"Shame is an unspoken epidemic, the secret behind many forms of broken behavior. Brené Brown, whose earlier talk on vulnerability became a viral hit, explores what can happen when people confront their shame head-on. Her own humor, humanity and vulnerability shine through every word.","['shame', 'unspoken', 'epidemic', 'secret', 'form', 'broken', 'behavior', 'brené', 'brown', 'early', 'talk', 'vulnerability', 'viral', 'hit', 'explore', 'happen', 'people', 'confront', 'shame', 'head', 'humor', 'humanity', 'vulnerability', 'shine', 'word']","['brain', 'culture', 'psychology', 'self']",7988894,707
Gustavo Dudamel and the Teresa Carreño Youth Orchestra: El Sistema's top youth orchestra,"The Teresa Carreño Youth Orchestra contains the best high school musicians from Venezuela's life-changing music program, El Sistema. Led here by Gustavo Dudamel, they play Shostakovich's Symphony No. 10, 2nd movement, and Arturo Márquez' Danzón No. 2.","['teresa', 'carreño', 'youth', 'orchestra', 'contain', 'good', 'high', 'school', 'musician', 'venezuela', 'life', 'change', 'music', 'program', 'el', 'sistema', 'lead', 'gustavo', 'dudamel', 'play', 'shostakovich', 'symphony', '10', '2nd', 'movement', 'arturo', 'márquez', 'danzón', '2']","['TED Prize', 'children', 'conducting', 'culture', 'education', 'entertainment', 'live music', 'music', 'performance']",2062308,204
Helen Fisher: The brain in love,"Why do we crave love so much, even to the point that we would die for it? To learn more about our very real, very physical need for romantic love, Helen Fisher and her research team took MRIs of people in love -- and people who had just been dumped.","['crave', 'love', 'point', 'die', 'learn', 'real', 'physical', 'need', 'romantic', 'love', 'helen', 'fisher', 'research', 'team', 'take', 'mris', 'people', 'love', 'people', 'dump']","['brain', 'cognitive science', 'culture', 'literature', 'love', 'poetry', 'psychology', 'relationships', 'science', 'technology']",4883112,229
